x,Curve1
226.464,0.42
228.948,4.048
232.247,7.675
233.914,11.158
235.582,14.785
236.434,18.413
238.103,22.04
239.771,25.668
241.439,29.295
243.107,32.923
243.96,36.55
245.628,40.178
247.296,43.805
249.78,47.433
251.448,51.06
253.93,54.543
256.414,58.17
260.528,61.798
264.641,65.28
271.2,68.762
280.203,71.955
296.534,74.131
314.474,74.131
326.678,71.374
335.307,69.835
339.695,68.472
352.714,65.715
368.185,63.539
383.653,61.072
397.489,58.46
412.141,55.994
426.793,53.382
438.179,50.48
452.015,47.868
465.85,45.256
479.686,42.644
495.156,40.323
511.442,38.146
526.913,35.97
543.2,33.793
559.487,31.617
575.775,29.585
592.878,27.554
610.8,25.813
628.723,24.217
647.465,22.911
667.842,22.04
686.589,21.169
706.149,20.154
725.708,18.993
744.448,17.542
763.19,16.236
781.933,15.075
801.494,14.06
821.057,13.334
840.622,12.754
860.183,11.883
878.931,11.158
898.494,10.432
918.878,10.142
938.444,9.707
958.01,9.271
976.756,8.401
996.321,7.82
1016.706,7.675
1036.281,8.11
1056.667,8.11
1077.05,7.82
1096.618,7.53
